# file...... theat_record.csv
# date...... Fri Feb 22 13:35:06 2013
# user...... Antonia
# host...... (null)
# target.... house 0
# trigger... (none)
# interval.. 5
# limit..... 480
# timestamp,air_temperature,cooling_setpoint
2013-02-22 03:35:06 PST,+62.4635,+90
2013-02-22 03:35:11 PST,+62.4742,+90
2013-02-22 03:35:16 PST,+62.4847,+90
2013-02-22 03:35:21 PST,+62.4952,+90
2013-02-22 03:35:26 PST,+62.5055,+90
2013-02-22 03:35:31 PST,+62.5157,+90
2013-02-22 03:35:36 PST,+62.5257,+90
2013-02-22 03:35:41 PST,+62.5357,+90
2013-02-22 03:35:46 PST,+62.5455,+90
2013-02-22 03:35:51 PST,+62.5552,+90
2013-02-22 03:35:56 PST,+62.5648,+90
2013-02-22 03:36:01 PST,+62.5743,+90
2013-02-22 03:36:06 PST,+62.5836,+90
2013-02-22 03:36:11 PST,+62.5929,+90
2013-02-22 03:36:16 PST,+62.6021,+90
2013-02-22 03:36:21 PST,+62.6111,+90
2013-02-22 03:36:26 PST,+62.6201,+90
2013-02-22 03:36:31 PST,+62.6289,+90
2013-02-22 03:36:36 PST,+62.6377,+90
2013-02-22 03:36:41 PST,+62.6463,+90
2013-02-22 03:36:46 PST,+62.6549,+90
2013-02-22 03:36:51 PST,+62.6633,+90
2013-02-22 03:36:56 PST,+62.6717,+90
2013-02-22 03:37:01 PST,+62.6799,+90
2013-02-22 03:37:06 PST,+62.6881,+90
2013-02-22 03:37:11 PST,+62.6962,+90
2013-02-22 03:37:16 PST,+62.7042,+90
2013-02-22 03:37:21 PST,+62.7121,+90
2013-02-22 03:37:26 PST,+62.7199,+90
2013-02-22 03:37:31 PST,+62.7277,+90
2013-02-22 03:37:36 PST,+62.7353,+90
2013-02-22 03:37:41 PST,+62.7429,+90
2013-02-22 03:37:46 PST,+62.7504,+90
2013-02-22 03:37:51 PST,+62.7578,+90
2013-02-22 03:37:56 PST,+62.7651,+90
2013-02-22 03:38:01 PST,+62.7724,+90
2013-02-22 03:38:06 PST,+62.7796,+90
2013-02-22 03:38:11 PST,+62.7867,+90
2013-02-22 03:38:16 PST,+62.7937,+90
2013-02-22 03:38:21 PST,+62.8007,+90
2013-02-22 03:38:26 PST,+62.8076,+90
2013-02-22 03:38:31 PST,+62.8144,+90
2013-02-22 03:38:36 PST,+62.8211,+90
2013-02-22 03:38:41 PST,+62.8278,+90
2013-02-22 03:38:46 PST,+62.8344,+90
2013-02-22 03:38:51 PST,+62.841,+90
2013-02-22 03:38:56 PST,+62.8474,+90
2013-02-22 03:39:01 PST,+62.8539,+90
2013-02-22 03:39:06 PST,+62.8602,+90
2013-02-22 03:39:11 PST,+62.8665,+90
2013-02-22 03:39:16 PST,+62.8727,+90
2013-02-22 03:39:21 PST,+62.8789,+90
2013-02-22 03:39:26 PST,+62.885,+90
2013-02-22 03:39:31 PST,+62.8911,+90
2013-02-22 03:39:36 PST,+62.8971,+90
2013-02-22 03:39:41 PST,+62.903,+90
2013-02-22 03:39:46 PST,+62.9089,+90
2013-02-22 03:39:51 PST,+62.9147,+90
2013-02-22 03:39:56 PST,+62.9205,+90
2013-02-22 03:40:01 PST,+62.9262,+90
2013-02-22 03:40:06 PST,+62.9319,+90
2013-02-22 03:40:11 PST,+62.9375,+90
2013-02-22 03:40:16 PST,+62.9431,+90
2013-02-22 03:40:21 PST,+62.9486,+90
2013-02-22 03:40:26 PST,+62.954,+90
2013-02-22 03:40:31 PST,+62.9595,+90
2013-02-22 03:40:36 PST,+62.9648,+90
2013-02-22 03:40:41 PST,+62.9702,+90
2013-02-22 03:40:46 PST,+62.9754,+90
2013-02-22 03:40:51 PST,+62.9807,+90
2013-02-22 03:40:56 PST,+62.9859,+90
2013-02-22 03:41:01 PST,+62.991,+90
2013-02-22 03:41:06 PST,+62.9961,+90
2013-02-22 03:41:11 PST,+63.0011,+90
2013-02-22 03:41:16 PST,+63.0062,+90
2013-02-22 03:41:21 PST,+63.0111,+90
2013-02-22 03:41:26 PST,+63.0161,+90
2013-02-22 03:41:31 PST,+63.021,+90
2013-02-22 03:41:36 PST,+63.0258,+90
2013-02-22 03:41:41 PST,+63.0306,+90
2013-02-22 03:41:46 PST,+63.0354,+90
2013-02-22 03:41:51 PST,+63.0401,+90
2013-02-22 03:41:56 PST,+63.0448,+90
2013-02-22 03:42:01 PST,+63.0495,+90
2013-02-22 03:42:06 PST,+63.0541,+90
2013-02-22 03:42:11 PST,+63.0587,+90
2013-02-22 03:42:16 PST,+63.0632,+90
2013-02-22 03:42:21 PST,+63.0678,+90
2013-02-22 03:42:26 PST,+63.0723,+90
2013-02-22 03:42:31 PST,+63.0767,+90
2013-02-22 03:42:36 PST,+63.0811,+90
2013-02-22 03:42:41 PST,+63.0855,+90
2013-02-22 03:42:46 PST,+63.0899,+90
2013-02-22 03:42:51 PST,+63.0942,+90
2013-02-22 03:42:56 PST,+63.0985,+90
2013-02-22 03:43:01 PST,+63.1027,+90
2013-02-22 03:43:06 PST,+63.107,+90
2013-02-22 03:43:11 PST,+63.1112,+90
2013-02-22 03:43:16 PST,+63.1153,+90
2013-02-22 03:43:21 PST,+63.1195,+90
2013-02-22 03:43:26 PST,+63.1236,+90
2013-02-22 03:43:31 PST,+63.1277,+90
2013-02-22 03:43:36 PST,+63.1317,+90
2013-02-22 03:43:41 PST,+63.1358,+90
2013-02-22 03:43:46 PST,+63.1398,+90
2013-02-22 03:43:51 PST,+63.1438,+90
2013-02-22 03:43:56 PST,+63.1477,+90
2013-02-22 03:44:01 PST,+63.1516,+90
2013-02-22 03:44:06 PST,+63.1555,+90
2013-02-22 03:44:11 PST,+63.1594,+90
2013-02-22 03:44:16 PST,+63.1633,+90
2013-02-22 03:44:21 PST,+63.1671,+90
2013-02-22 03:44:26 PST,+63.1709,+90
2013-02-22 03:44:31 PST,+63.1747,+90
2013-02-22 03:44:36 PST,+63.1785,+90
2013-02-22 03:44:41 PST,+63.1822,+90
2013-02-22 03:44:46 PST,+63.1859,+90
2013-02-22 03:44:51 PST,+63.1896,+90
2013-02-22 03:44:56 PST,+63.1933,+90
2013-02-22 03:45:01 PST,+63.1969,+90
2013-02-22 03:45:06 PST,+63.2006,+90
2013-02-22 03:45:11 PST,+63.2042,+90
2013-02-22 03:45:16 PST,+63.2078,+90
2013-02-22 03:45:21 PST,+63.2113,+90
2013-02-22 03:45:26 PST,+63.2149,+90
2013-02-22 03:45:31 PST,+63.2184,+90
2013-02-22 03:45:36 PST,+63.2219,+90
2013-02-22 03:45:41 PST,+63.2254,+90
2013-02-22 03:45:46 PST,+63.2289,+90
